type,code,name,ISIN,start,market,group,CFI
上櫃認購(售)權證,712968,穩懋元富07購01,TW20Z7129683,2020/07/15,上櫃,,RWSCCA
上櫃認購(售)權證,713040,精材統一07購01,TW20Z7130400,2020/07/16,上櫃,,RWSCCA
上櫃認購(售)權證,713129,群聯元富07購03,TW20Z7131291,2020/07/20,上櫃,,RWSCCA
上櫃認購(售)權證,713130,鈊象元富07購06,TW20Z7131309,2020/07/20,上櫃,,RWSCCA
上櫃認購(售)權證,713133,新普中信07購01,TW20Z7131333,2020/07/21,上櫃,,RWSCCE
上櫃認購(售)權證,713231,合晶元富07購01,TW20Z7132315,2020/07/23,上櫃,,RWSCCA
上櫃認購(售)權證,713232,信驊元富07購02,TW20Z7132323,2020/07/23,上櫃,,RWSCCA
上櫃認購(售)權證,713233,宣德元富07購01,TW20Z7132331,2020/07/23,上櫃,,RWSCCA
上櫃認購(售)權證,713234,閎康元富07購01,TW20Z7132349,2020/07/23,上櫃,,RWSCCA
上櫃認購(售)權證,713238,穩懋元富07購02,TW20Z7132380,2020/07/23,上櫃,,RWSCCA
上櫃認購(售)權證,713239,鈊象元富07購08,TW20Z7132398,2020/07/23,上櫃,,RWSCCA
上櫃認購(售)權證,713262,宜鼎元富07購01,TW20Z7132620,2020/07/24,上櫃,,RWSCCA
上櫃認購(售)權證,713263,欣銓元富07購01,TW20Z7132638,2020/07/24,上櫃,,RWSCCA
上櫃認購(售)權證,713264,倉和元富07購01,TW20Z7132646,2020/07/24,上櫃,,RWSCCA
上櫃認購(售)權證,713265,海韻電元富07購01,TW20Z7132653,2020/07/24,上櫃,,RWSCCA
上櫃認購(售)權證,713266,緯軟元富07購01,TW20Z7132661,2020/07/24,上櫃,,RWSCCA
上櫃認購(售)權證,713283,M31元富07購02,TW20Z7132836,2020/07/27,上櫃,,RWSCCA
上櫃認購(售)權證,713321,統新統一07購01,TW20Z7133214,2020/07/28,上櫃,,RWSCCA
上櫃認購(售)權證,713322,統新統一07購02,TW20Z7133222,2020/07/28,上櫃,,RWSCCA
上櫃認購(售)權證,713323,統新統一07購03,TW20Z7133230,2020/07/28,上櫃,,RWSCCA
上櫃認購(售)權證,713372,信驊元富07購03,TW20Z7133727,2020/07/28,上櫃,,RWSCCA
上櫃認購(售)權證,713373,統新元富07購01,TW20Z7133735,2020/07/28,上櫃,,RWSCCA
上櫃認購(售)權證,713374,鈺太元富07購01,TW20Z7133743,2020/07/28,上櫃,,RWSCCA
上櫃認購(售)權證,713404,力旺元富07購01,TW20Z7134048,2020/07/29,上櫃,,RWSCCA
上櫃認購(售)權證,713408,原相元富07購01,TW20Z7134089,2020/07/29,上櫃,,RWSCCA
上櫃認購(售)權證,713439,原相元富07購02,TW20Z7134394,2020/07/31,上櫃,,RWSCCA
上櫃認購(售)權證,713527,雙鴻元富08購01,TW20Z7135276,2020/08/06,上櫃,,RWSCCA
上櫃認購(售)權證,713529,鈊象元富08購01,TW20Z7135292,2020/08/06,上櫃,,RWSCCA
上櫃認購(售)權證,713530,鈊象元富08購02,TW20Z7135300,2020/08/06,上櫃,,RWSCCA
上櫃認購(售)權證,713691,弘塑元富08購01,TW20Z7136910,2020/08/13,上櫃,,RWSCCA
上櫃認購(售)權證,713736,安勤元富08購01,TW20Z7137363,2020/08/14,上櫃,,RWSCCA
上櫃認購(售)權證,713762,倉和元富08購01,TW20Z7137629,2020/08/17,上櫃,,RWSCCA
上櫃認購(售)權證,713763,桂盟元富08購01,TW20Z7137637,2020/08/17,上櫃,,RWSCCA
上櫃認購(售)權證,713764,桂盟元富08購02,TW20Z7137645,2020/08/17,上櫃,,RWSCCA
上櫃認購(售)權證,713765,精華元富08購01,TW20Z7137652,2020/08/17,上櫃,,RWSCCA
上櫃認購(售)權證,713777,大江元富08購01,TW20Z7137777,2020/08/18,上櫃,,RWSCCA
上櫃認購(售)權證,713778,威剛元富08購01,TW20Z7137785,2020/08/18,上櫃,,RWSCCA
上櫃認購(售)權證,713817,群聯元富08購01,TW20Z7138171,2020/08/20,上櫃,,RWSCCA
上櫃認購(售)權證,713818,碩禾元富08購01,TW20Z7138189,2020/08/20,上櫃,,RWSCCA
上櫃認購(售)權證,713819,碩禾元富08購02,TW20Z7138197,2020/08/20,上櫃,,RWSCCA
上櫃認購(售)權證,713852,信驊元富08購01,TW20Z7138528,2020/08/21,上櫃,,RWSCCA
上櫃認購(售)權證,713853,碩禾元富08購03,TW20Z7138536,2020/08/21,上櫃,,RWSCCA
上櫃認購(售)權證,713870,宏捷科元富08購01,TW20Z7138700,2020/08/24,上櫃,,RWSCCA
上櫃認購(售)權證,713871,碩禾元富08購04,TW20Z7138718,2020/08/24,上櫃,,RWSCCA
上櫃認購(售)權證,713882,穩懋元富08購01,TW20Z7138825,2020/08/25,上櫃,,RWSCCA
上櫃認購(售)權證,713921,原相元富08購01,TW20Z7139211,2020/08/27,上櫃,,RWSCCA
上櫃認購(售)權證,713922,精測元富08購01,TW20Z7139229,2020/08/27,上櫃,,RWSCCA
上櫃認購(售)權證,713996,昇佳電元富08購01,TW20Z7139963,2020/08/31,上櫃,,RWSCCA
上櫃認購(售)權證,713997,鈊象元富08購03,TW20Z7139971,2020/08/31,上櫃,,RWSCCA
上櫃認購(售)權證,713998,鈊象元富08購04,TW20Z7139989,2020/08/31,上櫃,,RWSCCA
